mov,flv,1080_30,16.63,17.22,17.11,16.62,16.87
mov,webm,1080_30,12.72,13.24,12.45,12.48,12.38
mov,mp4,1080_30,13.25,14.07,13.56,14.12,13.64
mov,mkv,1080_30,16.58,17.71,17.62,17.59,17.54
mov,flv,1080_60,33.42,33.88,34.12,33.95,33.6
mov,webm,1080_60,26.52,26.19,26.41,26.62,26.31
mov,mp4,1080_60,28.17,28.22,28.69,28.08,28.6
mov,mkv,1080_60,34.58,34.54,33.9,34.29,34.13
mov,flv,2160_30,43.12,43.32,42.65,43.15,43.27
mov,webm,2160_30,43.25,43.3,42.74,42.4,42.26
mov,mp4,2160_30,43,43.33,43.64,43.46,43.01
mov,mkv,2160_30,43.29,42.48,43,43.31,43.42
mov,flv,2160_60,86.93,85.15,85.74,85.61,85.44
mov,webm,2160_60,84.16,84.64,85.15,83.66,84.34
mov,mp4,2160_60,85.15,85.64,83.73,85.15,84.71
mov,mkv,2160_60,84.08,84.58,84.75,85.35,84.41
flv,mov,1080_30,16.48,16.64,16.76,16.78,16.92
flv,webm,1080_30,12.52,13.05,12.7,12.55,13.22
flv,mp4,1080_30,13.96,14.18,13.77,13.58,13.99
flv,mkv,1080_30,16.57,16.35,16.52,16.8,17.01
flv,mov,1080_60,33.31,33.4,34.13,33.47,33.28
flv,webm,1080_60,24.74,24.98,24.88,25.22,25.33
flv,mp4,1080_60,27.41,28.04,27.26,27.48,27.33
flv,mkv,1080_60,33.21,33.52,33.44,33.4,34.14
flv,mov,2160_30,42.36,42.17,43.12,43.07,42.91
flv,webm,2160_30,42.83,42.65,42.51,42.17,42.42
flv,mp4,2160_30,42.89,43.48,42.57,42.88,42.73
flv,mkv,2160_30,42.8,42.99,43.25,43.14,42.73
flv,mov,2160_60,93.07,85.26,85.76,84.87,84.99
flv,webm,2160_60,85.56,84.15,84.43,84,84.23
flv,mp4,2160_60,84.76,84.16,84.92,85.02,85.57
flv,mkv,2160_60,84.79,85.19,85.14,84.63,85.16
webm,mov,1080_30,17.13,16.66,17.41,17.11,16.64
webm,flv,1080_30,16.62,16.4,17.26,16.66,17.25
webm,mp4,1080_30,13.72,14.19,13.89,13.8,14.26
webm,mkv,1080_30,16.8,17.35,17.37,17.42,16.78
webm,mov,1080_60,33.41,32.76,33.66,33.58,33.33
webm,flv,1080_60,33.9,33.96,33.83,34.05,34.18
webm,mp4,1080_60,27.59,27.53,28.08,28.2,28.22
webm,mkv,1080_60,33.66,33.7,33.71,34,33.84
webm,mov,2160_30,46.68,48.09,46.6,46.82,46.04
webm,flv,2160_30,45.53,46.94,46.34,46.54,46.48
webm,mp4,2160_30,46.13,46.37,46.37,46.21,46.32
webm,mkv,2160_30,45.89,45.23,46.29,45.49,45.2
webm,mov,2160_60,93.61,92.46,91.65,93.65,93.14
webm,flv,2160_60,94.1,91.9,92.06,91.05,93.11
webm,mp4,2160_60,91.89,92.34,92.09,91.03,91.9
webm,mkv,2160_60,91.24,91.2,90.77,91.73,93.44
mp4,mov,1080_30,16.8,16.75,16.98,16.56,17.02
mp4,flv,1080_30,16.43,16.91,17.26,18.58,17.56
mp4,webm,1080_30,13.57,12.8,12.96,13.47,13.14
mp4,mkv,1080_30,16.79,16.85,17.52,16.9,17.47
mp4,mov,1080_60,32.83,34.03,34.3,34.36,34.04
mp4,flv,1080_60,34.12,33.38,34.23,34.18,34.4
mp4,webm,1080_60,25.65,25.88,25.81,25.52,25.7
mp4,mkv,1080_60,34.13,34.24,34.49,34.27,34.08
mp4,mov,2160_30,43.16,43.01,43.09,43.24,43.65
mp4,flv,2160_30,43.74,43.45,43.15,43.1,43.11
mp4,webm,2160_30,43.05,43.84,42.62,42.48,42.55
mp4,mkv,2160_30,42.62,43.11,43.49,42.89,42.91
mp4,mov,2160_60,85.2,85.31,85.93,85.41,85.06
mp4,flv,2160_60,85.54,85.37,85.58,85.51,87.08
mp4,webm,2160_60,85.23,84.65,84.68,84.51,84.22
mp4,mkv,2160_60,84.98,85.19,85.19,85.49,85.85
mkv,mov,1080_30,16.51,16.54,16.91,16.8,16.55
mkv,flv,1080_30,16.44,16.3,16.73,16.6,17.16
mkv,webm,1080_30,12.61,13.21,13.1,12.97,13.33
mkv,mp4,1080_30,13.5,14.15,13.98,13.57,13.51
mkv,mov,1080_60,33.47,33.66,33.63,32.57,34.06
mkv,flv,1080_60,33.41,32.88,33.39,33.54,32.89
mkv,webm,1080_60,25.99,25.77,25.73,25.57,25.71
mkv,mp4,1080_60,28.04,29.92,28.2,27.97,27.3
mkv,mov,2160_30,43.75,43.42,42.87,43.27,43.25
mkv,flv,2160_30,43.56,43.33,43.16,43.1,43.21
mkv,webm,2160_30,43.86,43.39,43.07,42.71,43.43
mkv,mp4,2160_30,42.89,43.31,43.24,43.01,43.08
mkv,mov,2160_60,85.83,85.74,86.4,85.49,85.66
mkv,flv,2160_60,85.16,85.7,85.03,85.16,85.4
mkv,webm,2160_60,84.68,85.23,84.81,84.68,85.59
mkv,mp4,2160_60,84.56,84.34,85.4,85.35,85.81
